Year,Australian Open,French Open,Wimbledon,US Open,tour
2001,Jennifer Capriati,Jennifer Capriati,Venus Williams,Venus Williams,Womens
2002,Jennifer Capriati,Serena Williams,Serena Williams,Serena Williams,Womens
2003,Serena Williams,Justine Henin,Serena Williams,Justine Henin,Womens
2004,Justine Henin,Anastasia Myskina,Maria Sharapova,Svetlana Kuznetsova,Womens
2005,Serena Williams,Justine Henin,Venus Williams,Kim Clijsters,Womens
2006,Amélie Mauresmo,Justine Henin,Amélie Mauresmo,Maria Sharapova,Womens
2007,Serena Williams,Justine Henin,Venus Williams,Justine Henin,Womens
2008,Maria Sharapova,Ana Ivanovic,Venus Williams,Serena Williams,Womens
2009,Serena Williams,Svetlana Kuznetsova,Serena Williams,Kim Clijsters,Womens
2010,Serena Williams,Francesca Schiavone,Serena Williams,Kim Clijsters,Womens
2011,Kim Clijsters,Li Na,Petra Kvitová,Samantha Stosur,Womens
2012,Victoria Azarenka ,Maria Sharapova,Serena Williams,Serena Williams,Womens
2013,Victoria Azarenka,Serena Williams,Marion Bartoli,Serena Williams,Womens
2014,Li Na,Maria Sharapova,Petra Kvitová,Serena Williams,Womens
2015,Serena Williams,Serena Williams,Serena Williams,Flavia Pennetta,Womens
2016,Angelique Kerber,Garbiñe Muguruza,Serena Williams,Angelique Kerber,Womens
2017,Serena Williams,Jeļena Ostapenko,Garbiñe Muguruza,Sloane Stephens,Womens
2018,Caroline Wozniacki,Simona Halep,Angelique Kerber,Naomi Osaka,Womens
2019,Naomi Osaka,Ashleigh Barty,Simona Halep,Bianca Andreescu,Womens
2020,Sofia Kenin,,,,Womens
1968,,Ken Rosewall,Rod Laver,Arthur Ashe,Mens
1969,Rod Laver,Rod Laver,Rod Laver,Rod Laver,Mens
1970,Arthur Ashe,Jan Kodeš,John Newcombe,Ken Rosewall,Mens
1971,Ken Rosewall,Jan Kodeš,John Newcombe,Stan Smith,Mens
1972,Ken Rosewall,Andrés Gimeno,Stan Smith,Ilie Năstase,Mens
1973,John Newcombe,Ilie Năstase,Jan Kodeš,John Newcombe,Mens
1974,Jimmy Connors,Björn Borg,Jimmy Connors,Jimmy Connors,Mens
1975,John Newcombe,Björn Borg,Arthur Ashe,Manuel Orantes,Mens
1976,Mark Edmondson,Adriano Panatta,Björn Borg,Jimmy Connors,Mens
1977,Roscoe Tanner,Guillermo Vilas,Björn Borg,Guillermo Vilas,Mens
1978,Guillermo Vilas ††††,Björn Borg,Björn Borg,Jimmy Connors,Mens
1979,Guillermo Vilas ††††,Björn Borg,Björn Borg,John McEnroe,Mens
1980,Brian Teacher ††††,Björn Borg,Björn Borg,John McEnroe,Mens
1981,Johan Kriek ††††,Björn Borg,John McEnroe,John McEnroe,Mens
1982,Johan Kriek ††††,Mats Wilander,Jimmy Connors,Jimmy Connors,Mens
1983,Mats Wilander††††,Yannick Noah,John McEnroe,Jimmy Connors,Mens
1984,Mats Wilander ††††,Ivan Lendl,John McEnroe,John McEnroe,Mens
1985,Stefan Edberg ††††,Mats Wilander,Boris Becker,Ivan Lendl,Mens
1986,Tournament date changed,Ivan Lendl,Boris Becker,Ivan Lendl,Mens
1987,Stefan Edberg,Ivan Lendl,Pat Cash,Ivan Lendl,Mens
1988,Mats Wilander,Mats Wilander,Stefan Edberg,Mats Wilander,Mens
1989,Ivan Lendl,Michael Chang,Boris Becker,Boris Becker,Mens
1990,Ivan Lendl,Andrés Gómez,Stefan Edberg,Pete Sampras,Mens
1991,Boris Becker,Jim Courier,Michael Stich,Stefan Edberg,Mens
1992,Jim Courier,Jim Courier,Andre Agassi,Stefan Edberg,Mens
1993,Jim Courier,Sergi Bruguera,Pete Sampras,Pete Sampras,Mens
1994,Pete Sampras,Sergi Bruguera,Pete Sampras,Andre Agassi,Mens
1995,Andre Agassi,Thomas Muster,Pete Sampras,Pete Sampras,Mens
1996,Boris Becker,Yevgeny Kafelnikov,Richard Krajicek,Pete Sampras,Mens
1997,Pete Sampras,Gustavo Kuerten,Pete Sampras,Patrick Rafter,Mens
1998,Petr Korda,Carlos Moyá,Pete Sampras,Patrick Rafter,Mens
1999,Yevgeny Kafelnikov,Andre Agassi,Pete Sampras,Andre Agassi,Mens
2000,Andre Agassi,Gustavo Kuerten,Pete Sampras,Marat Safin,Mens
2001,Andre Agassi,Gustavo Kuerten,Goran Ivanišević,Lleyton Hewitt,Mens
2002,Thomas Johansson,Albert Costa,Lleyton Hewitt,Pete Sampras,Mens
2003,Andre Agassi,Juan Carlos Ferrero,Roger Federer,Andy Roddick,Mens
2004,Roger Federer,Gastón Gaudio,Roger Federer,Roger Federer,Mens
2005,Marat Safin,Rafael Nadal,Roger Federer,Roger Federer,Mens
2006,Roger Federer,Rafael Nadal,Roger Federer,Roger Federer,Mens
2007,Roger Federer,Rafael Nadal,Roger Federer,Roger Federer,Mens
2008,Novak Djokovic,Rafael Nadal,Rafael Nadal,Roger Federer,Mens
2009,Rafael Nadal,Roger Federer,Roger Federer,Juan Martín del Potro,Mens
2010,Roger Federer,Rafael Nadal ,Rafael Nadal,Rafael Nadal,Mens
2011,Novak Djokovic,Rafael Nadal,Novak Djokovic,Novak Djokovic,Mens
2012,Novak Djokovic,Rafael Nadal,Roger Federer,Andy Murray,Mens
2013,Novak Djokovic,Rafael Nadal,Andy Murray,Rafael Nadal,Mens
2014,Stan Wawrinka,Rafael Nadal,Novak Djokovic,Marin Čilić,Mens
2015,Novak Djokovic,Stan Wawrinka,Novak Djokovic,Novak Djokovic,Mens
2016,Novak Djokovic,Novak Djokovic,Andy Murray,Stan Wawrinka,Mens
2017,Roger Federer,Rafael Nadal,Roger Federer,Rafael Nadal,Mens
2018,Roger Federer,Rafael Nadal,Novak Djokovic,Novak Djokovic,Mens
2019,Novak Djokovic,Rafael Nadal,Novak Djokovic,Rafael Nadal,Mens
2020,Novak Djokovic,,,,Mens
